,timestamp,value
0,2016-01-04,1466
1,2016-01-05,1473
2,2016-01-06,1457
3,2016-01-07,1455
4,2016-01-08,1476
5,2016-01-11,1472
6,2016-01-12,1457
7,2016-01-13,1453
8,2016-01-14,1478
9,2016-01-15,1468
10,2016-01-18,1487
11,2016-01-19,1494
12,2016-01-20,1462
13,2016-01-21,1470
14,2016-01-22,1498
15,2016-01-25,1480
16,2016-01-26,1481
17,2016-01-27,1508
18,2016-01-28,1527
19,2016-01-29,1530
20,2016-02-01,1520
21,2016-02-02,1525
22,2016-02-03,1514
23,2016-02-04,1532
24,2016-02-05,1531
25,2016-02-08,1496
26,2016-02-09,1492
27,2016-02-10,1499
28,2016-02-11,1494
29,2016-02-12,1499
30,2016-02-15,1506
31,2016-02-16,1529
32,2016-02-17,1520
33,2016-02-18,1530
34,2016-02-19,1552
35,2016-02-22,1573
36,2016-02-23,1576
37,2016-02-24,1552
38,2016-02-25,1600
39,2016-02-26,1589
40,2016-02-29,1622
41,2016-03-01,1591
42,2016-03-02,1597
43,2016-03-03,1604
44,2016-03-04,1588
45,2016-03-07,1600
46,2016-03-08,1590
47,2016-03-09,1564
48,2016-03-10,1565
49,2016-03-11,1549
50,2016-03-14,1533
51,2016-03-15,1508
52,2016-03-16,1495
53,2016-03-17,1504
54,2016-03-18,1498
55,2016-03-21,1486
56,2016-03-22,1481
57,2016-03-23,1480
58,2016-03-24,1470
59,2016-03-29,1473
60,2016-03-30,1478
61,2016-03-31,1492
62,2016-04-01,1524
63,2016-04-04,1523
64,2016-04-05,1498
65,2016-04-06,1481
66,2016-04-07,1485
67,2016-04-08,1492
68,2016-04-11,1494
69,2016-04-12,1514
70,2016-04-13,1546
71,2016-04-14,1549
72,2016-04-15,1535
73,2016-04-18,1547
74,2016-04-19,1566
75,2016-04-20,1598
76,2016-04-21,1628
77,2016-04-22,1635
78,2016-04-25,1641
79,2016-04-26,1632
80,2016-04-27,1643
81,2016-04-28,1649
82,2016-04-29,1673
83,2016-05-03,1629
84,2016-05-04,1611
85,2016-05-05,1602
86,2016-05-06,1599
87,2016-05-09,1557
88,2016-05-10,1543
89,2016-05-11,1560
90,2016-05-12,1545
91,2016-05-13,1529
92,2016-05-16,1526
93,2016-05-17,1532
94,2016-05-18,1530
95,2016-05-19,1536
96,2016-05-20,1559
97,2016-05-23,1526
98,2016-05-24,1553
99,2016-05-25,1539
100,2016-05-26,1553
101,2016-05-27,1552
102,2016-05-31,1548
103,2016-06-01,1544
104,2016-06-02,1559
105,2016-06-03,1543
106,2016-06-06,1548
107,2016-06-07,1541
108,2016-06-08,1596
109,2016-06-09,1592
110,2016-06-10,1584
111,2016-06-13,1582
112,2016-06-14,1605
113,2016-06-15,1614
114,2016-06-16,1593
115,2016-06-17,1603
116,2016-06-20,1608
117,2016-06-21,1624
118,2016-06-22,1624
119,2016-06-23,1628
120,2016-06-24,1601
121,2016-06-27,1592
122,2016-06-28,1603
123,2016-06-29,1614
124,2016-06-30,1635
125,2016-07-01,1645
126,2016-07-04,1653
127,2016-07-05,1624
128,2016-07-06,1624
129,2016-07-07,1637
130,2016-07-08,1641
131,2016-07-11,1653
132,2016-07-12,1646
133,2016-07-13,1670
134,2016-07-14,1672
135,2016-07-15,1682
136,2016-07-18,1645
137,2016-07-19,1643
138,2016-07-20,1609
139,2016-07-21,1595
140,2016-07-22,1600
141,2016-07-25,1601
142,2016-07-26,1591
143,2016-07-27,1584
144,2016-07-28,1598
145,2016-07-29,1616
146,2016-08-01,1646
147,2016-08-02,1636
148,2016-08-03,1620
149,2016-08-04,1616
150,2016-08-05,1628
151,2016-08-08,1645
152,2016-08-09,1626
153,2016-08-10,1646
154,2016-08-11,1630
155,2016-08-12,1635
156,2016-08-15,1645
157,2016-08-16,1676
158,2016-08-17,1686
159,2016-08-18,1691
160,2016-08-19,1649
161,2016-08-22,1652
162,2016-08-23,1653
163,2016-08-24,1657
164,2016-08-25,1624
165,2016-08-26,1628
166,2016-08-30,1628
167,2016-08-31,1601
168,2016-09-01,1587
169,2016-09-02,1592
170,2016-09-05,1569
171,2016-09-06,1574
172,2016-09-07,1583
173,2016-09-08,1566
174,2016-09-09,1568
175,2016-09-12,1546
176,2016-09-13,1557
177,2016-09-14,1553
178,2016-09-15,1560
179,2016-09-16,1560
180,2016-09-19,1559
181,2016-09-20,1563
182,2016-09-21,1570
183,2016-09-22,1612
184,2016-09-23,1638
185,2016-09-26,1620
186,2016-09-27,1648
187,2016-09-28,1649
188,2016-09-29,1653
189,2016-09-30,1659
190,2016-10-03,1650
191,2016-10-04,1671
192,2016-10-05,1663
193,2016-10-06,1668
194,2016-10-07,1675
195,2016-10-10,1678
196,2016-10-11,1673
197,2016-10-12,1684
198,2016-10-13,1681
199,2016-10-14,1685
200,2016-10-17,1645
201,2016-10-18,1664
202,2016-10-19,1622
203,2016-10-20,1613
204,2016-10-21,1617
205,2016-10-24,1627
206,2016-10-25,1651
207,2016-10-26,1673
208,2016-10-27,1682
209,2016-10-28,1702
210,2016-10-31,1723
211,2016-11-01,1732
212,2016-11-02,1709
213,2016-11-03,1726
214,2016-11-04,1719
215,2016-11-07,1716
216,2016-11-08,1706
217,2016-11-09,1738
218,2016-11-10,1773
219,2016-11-11,1777
220,2016-11-14,1765
221,2016-11-15,1727
222,2016-11-16,1719
223,2016-11-17,1693
224,2016-11-18,1712
225,2016-11-21,1726
226,2016-11-22,1739
227,2016-11-23,1766
228,2016-11-24,1774
229,2016-11-25,1751
230,2016-11-28,1767
231,2016-11-29,1722
232,2016-11-30,1723
233,2016-12-01,1724
234,2016-12-02,1715
235,2016-12-05,1728
236,2016-12-06,1718
237,2016-12-07,1728
238,2016-12-08,1732
239,2016-12-09,1743
240,2016-12-12,1750
241,2016-12-13,1755
242,2016-12-14,1752
243,2016-12-15,1736
244,2016-12-16,1733
245,2016-12-19,1717
246,2016-12-20,1723
247,2016-12-21,1731
248,2016-12-22,1738
249,2016-12-23,1740
250,2016-12-28,1727
251,2016-12-29,1713
