timestamp,value
1/4/2016,1466
1/5/2016,1473
1/6/2016,1457
1/7/2016,1455
1/8/2016,1476
1/11/2016,1471.5
1/12/2016,1457
1/13/2016,1453
1/14/2016,1478
1/15/2016,1467.5
1/18/2016,1486.5
1/19/2016,1494
1/20/2016,1461.5
1/21/2016,1470
1/22/2016,1497.5
1/25/2016,1480
1/26/2016,1480.5
1/27/2016,1508
1/28/2016,1527
1/29/2016,1529.5
2/1/2016,1520
2/2/2016,1524.5
2/3/2016,1514
2/4/2016,1532
2/5/2016,1531
2/8/2016,1496
2/9/2016,1492
2/10/2016,1499
2/11/2016,1494
2/12/2016,1499
2/15/2016,1505.5
2/16/2016,1528.5
2/17/2016,1520
2/18/2016,1530
2/19/2016,1552
2/22/2016,1573
2/23/2016,1575.5
2/24/2016,1552
2/25/2016,1600
2/26/2016,1588.5
2/29/2016,1621.5
3/1/2016,1590.5
3/2/2016,1597
3/3/2016,1603.5
3/4/2016,1587.5
3/7/2016,1600
3/8/2016,1590
3/9/2016,1564
3/10/2016,1565
3/11/2016,1548.5
3/14/2016,1532.5
3/15/2016,1508
3/16/2016,1495
3/17/2016,1503.5
3/18/2016,1498
3/21/2016,1486
3/22/2016,1481
3/23/2016,1480
3/24/2016,1469.5
3/29/2016,1473
3/30/2016,1478
3/31/2016,1491.5
4/1/2016,1524
4/4/2016,1523
4/5/2016,1498
4/6/2016,1481
4/7/2016,1485
4/8/2016,1492
4/11/2016,1493.5
4/12/2016,1514
4/13/2016,1545.5
4/14/2016,1548.5
4/15/2016,1535
4/18/2016,1547
4/19/2016,1565.5
4/20/2016,1598
4/21/2016,1628
4/22/2016,1635
4/25/2016,1641
4/26/2016,1632
4/27/2016,1642.5
4/28/2016,1649
4/29/2016,1673
5/3/2016,1629
5/4/2016,1611
5/5/2016,1601.5
5/6/2016,1599
5/9/2016,1556.5
5/10/2016,1542.5
5/11/2016,1560
5/12/2016,1545
5/13/2016,1529
5/16/2016,1525.5
5/17/2016,1532
5/18/2016,1529.5
5/19/2016,1536
5/20/2016,1559
5/23/2016,1526
5/24/2016,1553
5/25/2016,1539
5/26/2016,1553
5/27/2016,1552
5/31/2016,1548
6/1/2016,1544
6/2/2016,1559
6/3/2016,1543
6/6/2016,1548
6/7/2016,1541
6/8/2016,1596
6/9/2016,1591.5
6/10/2016,1584
6/13/2016,1581.5
6/14/2016,1605
6/15/2016,1613.5
6/16/2016,1592.5
6/17/2016,1602.5
6/20/2016,1607.5
6/21/2016,1623.5
6/22/2016,1624
6/23/2016,1628
6/24/2016,1600.5
6/27/2016,1592
6/28/2016,1602.5
6/29/2016,1614
6/30/2016,1635
7/1/2016,1645
7/4/2016,1653
7/5/2016,1624
7/6/2016,1623.5
7/7/2016,1637
7/8/2016,1640.5
7/11/2016,1653
7/12/2016,1646
7/13/2016,1669.5
7/14/2016,1672
7/15/2016,1682
7/18/2016,1645
7/19/2016,1643
7/20/2016,1609
7/21/2016,1594.5
7/22/2016,1600
7/25/2016,1601
7/26/2016,1590.5
7/27/2016,1584
7/28/2016,1598
7/29/2016,1616
8/1/2016,1645.5
8/2/2016,1635.5
8/3/2016,1620
8/4/2016,1616
8/5/2016,1628
8/8/2016,1645
8/9/2016,1626
8/10/2016,1646
8/11/2016,1630
8/12/2016,1635
8/15/2016,1644.5
8/16/2016,1676
8/17/2016,1685.5
8/18/2016,1690.5
8/19/2016,1648.5
8/22/2016,1652
8/23/2016,1653
8/24/2016,1656.5
8/25/2016,1624
8/26/2016,1627.5
8/30/2016,1627.5
8/31/2016,1601
9/1/2016,1587
9/2/2016,1592
9/5/2016,1568.5
9/6/2016,1573.5
9/7/2016,1582.5
9/8/2016,1566
9/9/2016,1567.5
9/12/2016,1545.5
9/13/2016,1556.5
9/14/2016,1552.5
9/15/2016,1560
9/16/2016,1560
9/19/2016,1558.5
9/20/2016,1563
9/21/2016,1570
9/22/2016,1611.5
9/23/2016,1637.5
9/26/2016,1620
9/27/2016,1648
9/28/2016,1648.5
9/29/2016,1653
9/30/2016,1658.5
10/3/2016,1650
10/4/2016,1670.5
10/5/2016,1662.5
10/6/2016,1667.5
10/7/2016,1675
10/10/2016,1678
10/11/2016,1673
10/12/2016,1684
10/13/2016,1681
10/14/2016,1685
10/17/2016,1645
10/18/2016,1663.5
10/19/2016,1622
10/20/2016,1612.5
10/21/2016,1617
10/24/2016,1626.5
10/25/2016,1651
10/26/2016,1673
10/27/2016,1681.5
10/28/2016,1701.5
10/31/2016,1723
11/1/2016,1732
11/2/2016,1709
11/3/2016,1726
11/4/2016,1718.5
11/7/2016,1716
11/8/2016,1706
11/9/2016,1737.5
11/10/2016,1772.5
11/11/2016,1777
11/14/2016,1765
11/15/2016,1727
11/16/2016,1719
11/17/2016,1692.5
11/18/2016,1712
11/21/2016,1726
11/22/2016,1739
11/23/2016,1765.5
11/24/2016,1774
11/25/2016,1751
11/28/2016,1766.5
11/29/2016,1722
11/30/2016,1722.5
12/1/2016,1724
12/2/2016,1715
12/5/2016,1728
12/6/2016,1718
12/7/2016,1728
12/8/2016,1731.5
12/9/2016,1742.5
12/12/2016,1749.5
12/13/2016,1755
12/14/2016,1752
12/15/2016,1736
12/16/2016,1732.5
12/19/2016,1717
12/20/2016,1722.5
12/21/2016,1730.5
12/22/2016,1737.5
12/23/2016,1740
12/28/2016,1726.5
12/29/2016,1713
12/30/2016,1713.5
1/3/2017,1702
1/4/2017,1701
1/5/2017,1709.5
1/6/2017,1722
1/9/2017,1717
1/10/2017,1757.5
1/11/2017,1748.5
1/12/2017,1788
1/13/2017,1790.5
1/16/2017,1812
1/17/2017,1805.5
1/18/2017,1800.5
1/19/2017,1832
1/20/2017,1839
1/23/2017,1870
1/24/2017,1870
1/25/2017,1849
1/26/2017,1837.5
1/27/2017,1827.5
1/30/2017,1807
1/31/2017,1820.5
2/1/2017,1818
2/2/2017,1813
2/3/2017,1808.5
2/6/2017,1812
2/7/2017,1809
2/8/2017,1821
2/9/2017,1839
2/10/2017,1849
2/13/2017,1867.5
2/14/2017,1893
2/15/2017,1871
2/16/2017,1878
2/17/2017,1865.5
2/20/2017,1878
2/21/2017,1878
2/22/2017,1873
2/23/2017,1882.5
2/24/2017,1877
2/27/2017,1908
2/28/2017,1895
3/1/2017,1934
3/2/2017,1929
3/3/2017,1909
3/6/2017,1868
3/7/2017,1858
3/8/2017,1881
3/9/2017,1847
3/10/2017,1884.5
3/13/2017,1882
3/14/2017,1851
3/15/2017,1863
3/16/2017,1895
3/17/2017,1901
3/20/2017,1908
3/21/2017,1918
3/22/2017,1910
3/23/2017,1913
3/24/2017,1917.5
3/27/2017,1916
3/28/2017,1918.5
3/29/2017,1931
3/30/2017,1955
3/31/2017,1946.5
4/3/2017,1948.5
4/4/2017,1938
4/5/2017,1962
4/6/2017,1956
4/7/2017,1929.5
4/10/2017,1929
4/11/2017,1907.5
4/12/2017,1907
4/13/2017,1890
4/18/2017,1915.5
4/19/2017,1895.5
4/20/2017,1933
4/21/2017,1932.5
4/24/2017,1928
4/25/2017,1943
4/26/2017,1957.5
4/27/2017,1954.5
4/28/2017,1930
5/2/2017,1909
5/3/2017,1916
5/4/2017,1909.5
5/5/2017,1907
5/8/2017,1879
5/9/2017,1874
5/10/2017,1870
5/11/2017,1887
5/12/2017,1880
5/15/2017,1899.5
5/16/2017,1915
5/17/2017,1928
5/18/2017,1905
5/19/2017,1938
5/22/2017,1943
5/23/2017,1926
5/24/2017,1944
5/25/2017,1954
5/26/2017,1950
5/30/2017,1943.5
5/31/2017,1919.5
6/1/2017,1930
6/2/2017,1916.5
6/5/2017,1917.5
6/6/2017,1893
6/7/2017,1903.5
6/8/2017,1902.5
6/9/2017,1901.5
6/12/2017,1888
6/13/2017,1877
6/14/2017,1886.5
6/15/2017,1864
6/16/2017,1861
6/19/2017,1861.5
6/20/2017,1889
6/21/2017,1865.5
6/22/2017,1872
6/23/2017,1868
6/26/2017,1855
6/27/2017,1861.5
6/28/2017,1886
6/29/2017,1897.5
6/30/2017,1908.5
7/3/2017,1917.5
7/4/2017,1903.5
7/5/2017,1913
7/6/2017,1925.5
7/7/2017,1920
7/10/2017,1914
7/11/2017,1879
7/12/2017,1877
7/13/2017,1911
7/14/2017,1904
7/17/2017,1901
7/18/2017,1887
7/19/2017,1907
7/20/2017,1898
7/21/2017,1901
7/24/2017,1890
7/25/2017,1896.5
7/26/2017,1912
7/27/2017,1923
7/28/2017,1892
7/31/2017,1904
8/1/2017,1887
8/2/2017,1904
8/3/2017,1891.5
8/4/2017,1890
8/7/2017,1920
8/8/2017,1981
8/9/2017,2018
8/10/2017,2024
8/11/2017,2040.5
8/14/2017,2030
8/15/2017,2056
8/16/2017,2075
8/17/2017,2095.5
8/18/2017,2104.5
8/21/2017,2084.5
8/22/2017,2104.5
8/23/2017,2082.5
8/24/2017,2105
8/25/2017,2096.5
8/29/2017,2092
8/30/2017,2066.5
8/31/2017,2113.5
9/1/2017,2113.5
9/4/2017,2095.5
9/5/2017,2082
9/6/2017,2069.5
9/7/2017,2075
9/8/2017,2072
9/11/2017,2100.5
9/12/2017,2083
9/13/2017,2083
9/14/2017,2065
9/15/2017,2068
9/18/2017,2066.5
9/19/2017,2107.5
9/20/2017,2164
9/21/2017,2154
9/22/2017,2137
9/25/2017,2128
9/26/2017,2116
9/27/2017,2117
9/28/2017,2102.5
9/29/2017,2110.5
10/2/2017,2067
10/3/2017,2114.5
10/4/2017,2139.5
10/5/2017,2124
10/6/2017,2121.5
10/9/2017,2135
10/10/2017,2133
10/11/2017,2124
10/12/2017,2117.5
10/13/2017,2140
10/16/2017,2144
10/17/2017,2111
10/18/2017,2106.5
10/19/2017,2128.5
10/20/2017,2159
10/23/2017,2133.5
10/24/2017,2144
10/25/2017,2149.5
10/26/2017,2175
10/27/2017,2119
10/30/2017,2143
10/31/2017,2140
11/1/2017,2188
11/2/2017,2152
11/3/2017,2165
11/6/2017,2152
11/7/2017,2131
11/8/2017,2103.5
11/9/2017,2078
11/10/2017,2090
11/13/2017,2100
11/14/2017,2085
11/15/2017,2082
11/16/2017,2106
11/17/2017,2077
11/20/2017,2067.5
11/21/2017,2062
11/22/2017,2085
11/23/2017,2090
11/24/2017,2104
11/27/2017,2109.5
11/28/2017,2100
11/29/2017,2062
11/30/2017,2033
12/1/2017,2046.5
12/4/2017,2052.5
12/5/2017,2052
12/6/2017,2028.5
12/7/2017,1994
12/8/2017,1992
12/11/2017,1991.5
12/12/2017,2004
12/13/2017,1997
12/14/2017,2017
12/15/2017,2036
12/18/2017,2047.5
12/19/2017,2061
12/20/2017,2092
12/21/2017,2108.5
12/22/2017,2137
12/27/2017,2199.5
12/28/2017,2246
12/29/2017,2241.5
1/2/2018,2256
1/3/2018,2241
1/4/2018,2230
1/5/2018,2205.5
1/8/2018,2177.5
1/9/2018,2143.5
1/10/2018,2159
1/11/2018,2179
1/12/2018,2215
1/15/2018,2227.5
1/16/2018,2172
1/17/2018,2187
1/18/2018,2225
1/19/2018,2256
1/22/2018,2235
1/23/2018,2213.5
1/24/2018,2216
1/25/2018,2237.5
1/26/2018,2238
1/29/2018,2251.5
1/30/2018,2229
1/31/2018,2224.5
2/1/2018,2218
2/2/2018,2228
2/5/2018,2202
2/6/2018,2196
2/7/2018,2181.5
2/8/2018,2168
2/9/2018,2142
2/12/2018,2129.5
2/13/2018,2123.5
2/14/2018,2138
2/15/2018,2164
