timestamp,value
01-01-2016,1466
01-02-2016,1466
01-03-2016,1466
01-04-2016,1466
01-05-2016,1473
01-06-2016,1457
01-07-2016,1455
01-08-2016,1476
01-09-2016,1471.5
01-10-2016,1471.5
01-11-2016,1471.5
01-12-2016,1457
01-13-2016,1453
01-14-2016,1478
01-15-2016,1467.5
01-16-2016,1486.5
01-17-2016,1486.5
01-18-2016,1486.5
01-19-2016,1494
01-20-2016,1461.5
01-21-2016,1470
01-22-2016,1497.5
01-23-2016,1480
01-24-2016,1480
01-25-2016,1480
01-26-2016,1480.5
01-27-2016,1508
01-28-2016,1527
01-29-2016,1529.5
01-30-2016,1520
01-31-2016,1520
02-01-2016,1520
02-02-2016,1524.5
02-03-2016,1514
02-04-2016,1532
02-05-2016,1531
02-06-2016,1496
02-07-2016,1496
02-08-2016,1496
02-09-2016,1492
02-10-2016,1499
02-11-2016,1494
02-12-2016,1499
02-13-2016,1505.5
02-14-2016,1505.5
02-15-2016,1505.5
02-16-2016,1528.5
02-17-2016,1520
02-18-2016,1530
02-19-2016,1552
02-20-2016,1573
02-21-2016,1573
02-22-2016,1573
02-23-2016,1575.5
02-24-2016,1552
02-25-2016,1600
02-26-2016,1588.5
02-27-2016,1621.5
02-28-2016,1621.5
02-29-2016,1621.5
03-01-2016,1590.5
03-02-2016,1597
03-03-2016,1603.5
03-04-2016,1587.5
03-05-2016,1600
03-06-2016,1600
03-07-2016,1600
03-08-2016,1590
03-09-2016,1564
03-10-2016,1565
03-11-2016,1548.5
03-12-2016,1532.5
03-13-2016,1532.5
03-14-2016,1532.5
03-15-2016,1508
03-16-2016,1495
03-17-2016,1503.5
03-18-2016,1498
03-19-2016,1486
03-20-2016,1486
03-21-2016,1486
03-22-2016,1481
03-23-2016,1480
03-24-2016,1469.5
03-25-2016,1473
03-26-2016,1473
03-27-2016,1473
03-28-2016,1473
03-29-2016,1473
03-30-2016,1478
03-31-2016,1491.5
04-01-2016,1524
04-02-2016,1523
04-03-2016,1523
04-04-2016,1523
04-05-2016,1498
04-06-2016,1481
04-07-2016,1485
04-08-2016,1492
04-09-2016,1493.5
04-10-2016,1493.5
04-11-2016,1493.5
04-12-2016,1514
04-13-2016,1545.5
04-14-2016,1548.5
04-15-2016,1535
04-16-2016,1547
04-17-2016,1547
04-18-2016,1547
04-19-2016,1565.5
04-20-2016,1598
04-21-2016,1628
04-22-2016,1635
04-23-2016,1641
04-24-2016,1641
04-25-2016,1641
04-26-2016,1632
04-27-2016,1642.5
04-28-2016,1649
04-29-2016,1673
04-30-2016,1629
05-01-2016,1629
05-02-2016,1629
05-03-2016,1629
05-04-2016,1611
05-05-2016,1601.5
05-06-2016,1599
05-07-2016,1556.5
05-08-2016,1556.5
05-09-2016,1556.5
05-10-2016,1542.5
