,timestamp,value
0,1/4/2016,1466
1,1/5/2016,1473
2,1/6/2016,1457
3,1/7/2016,1455
4,1/8/2016,1476
5,1/11/2016,1471.5
6,1/12/2016,1457
7,1/13/2016,1453
8,1/14/2016,1478
9,1/15/2016,1467.5
10,1/18/2016,1486.5
11,1/19/2016,1494
12,1/20/2016,1461.5
13,1/21/2016,1470
14,1/22/2016,1497.5
15,1/25/2016,1480
16,1/26/2016,1480.5
17,1/27/2016,1508
18,1/28/2016,1527
19,1/29/2016,1529.5
20,2/1/2016,1520
21,2/2/2016,1524.5
22,2/3/2016,1514
23,2/4/2016,1532
24,2/5/2016,1531
25,2/8/2016,1496
26,2/9/2016,1492
27,2/10/2016,1499
28,2/11/2016,1494
29,2/12/2016,1499
30,2/15/2016,1505.5
31,2/16/2016,1528.5
32,2/17/2016,1520
33,2/18/2016,1530
34,2/19/2016,1552
35,2/22/2016,1573
36,2/23/2016,1575.5
37,2/24/2016,1552
38,2/25/2016,1600
39,2/26/2016,1588.5
40,2/29/2016,1621.5
41,3/1/2016,1590.5
42,3/2/2016,1597
43,3/3/2016,1603.5
44,3/4/2016,1587.5
45,3/7/2016,1600
46,3/8/2016,1590
47,3/9/2016,1564
48,3/10/2016,1565
49,3/11/2016,1548.5
50,3/14/2016,1532.5
51,3/15/2016,1508
52,3/16/2016,1495
53,3/17/2016,1503.5
54,3/18/2016,1498
55,3/21/2016,1486
56,3/22/2016,1481
57,3/23/2016,1480
58,3/24/2016,1469.5
59,3/29/2016,1473
60,3/30/2016,1478
61,3/31/2016,1491.5
62,4/1/2016,1524
63,4/4/2016,1523
64,4/5/2016,1498
65,4/6/2016,1481
66,4/7/2016,1485
67,4/8/2016,1492
68,4/11/2016,1493.5
69,4/12/2016,1514
70,4/13/2016,1545.5
71,4/14/2016,1548.5
72,4/15/2016,1535
73,4/18/2016,1547
74,4/19/2016,1565.5
75,4/20/2016,1598
76,4/21/2016,1628
77,4/22/2016,1635
78,4/25/2016,1641
79,4/26/2016,1632
80,4/27/2016,1642.5
81,4/28/2016,1649
82,4/29/2016,1673
83,5/3/2016,1629
84,5/4/2016,1611
85,5/5/2016,1601.5
86,5/6/2016,1599
